id,name,age,department,salary,performance_score,years_of_experience,last_promotion_year,location
121,Samar Loke,27,IT,859639.49,4,15,2020,Chennai
122,Indranil Balasubramanian,26,Marketing,972353.83,2,35,2018,Bangalore
123,Ishaan Rajagopal,38,Sales,1085025.46,10,27,2020,Mumbai
124,Sana Singh,27,HR,681010.79,5,12,2020,Delhi
125,Ojas Goel,36,Sales,1175161.26,7,33,2017,Bangalore
126,Mehul Tata,57,Marketing,584130.79,5,10,2023,Mumbai
127,Shayak Iyer,48,IT,941863.46,9,13,2023,Delhi
128,Riya Chaudhry,60,Sales,365978.4,7,10,2017,Mumbai
129,Indrans Chadha,24,HR,1451030.7,9,26,2019,Chennai
130,Misha Wali,47,Finance,613518.42,8,20,2019,Chennai
131,Hansh Wali,33,Marketing,911268.97,8,25,2017,Mumbai
132,Dhanush Ghosh,36,HR,753606.21,6,27,2018,Chennai
133,Darshit Bail,45,Finance,634147.07,4,17,2016,Hyderabad
134,Trisha Date,42,Marketing,738487.35,1,31,2017,Mumbai
135,Aaryahi Sachdev,50,Finance,574066.08,2,19,2018,Hyderabad
136,Adira Chahal,50,Finance,559685.82,2,1,2019,Delhi
137,Vedika Sami,37,IT,619838.22,3,15,2020,Hyderabad
138,Nirvaan Verma,40,HR,1010342.94,5,35,2020,Chennai
139,Manikya Tripathi,53,Sales,803696.08,10,18,2020,Mumbai
140,Ishita Saraf,25,Marketing,800420.63,10,7,2019,Chennai
141,Advik Dugal,30,Marketing,818132.09,10,23,2015,Mumbai
142,Trisha Baria,26,Marketing,1010384.75,3,12,2020,Mumbai
143,Vivaan Hegde,48,Marketing,537163.59,9,18,2015,Hyderabad
144,Bhavin Doctor,33,IT,361533.02,2,27,2019,Chennai
145,Anay Khatri,30,IT,386392.59,10,21,2023,Bangalore
146,Nirvi Tara,26,Finance,986620.63,3,6,2016,Chennai
147,Aarna Kaur,48,Finance,1227343.09,1,30,2015,Hyderabad
148,Indrajit Chaudhari,24,Finance,698492.06,4,9,2021,Hyderabad
149,Hridaan Gade,48,Finance,1193176.49,3,16,2023,Mumbai
150,Hridaan Rastogi,53,Sales,1144529.82,6,27,2019,Mumbai
151,Onkar Kota,53,Sales,421662.13,4,13,2023,Mumbai
152,Suhana Mammen,53,HR,367864.4,2,8,2016,Hyderabad
153,Aaina Khurana,36,HR,1200186.04,7,14,2020,Bangalore
154,Madhup Grover,40,IT,601222.13,5,5,2023,Chennai
155,Parinaaz Bera,37,Finance,1457717.07,8,17,2023,Delhi
156,Saksham Vasa,39,IT,1492790.49,10,17,2019,Chennai
157,Aradhya Bail,43,IT,998936.67,2,2,2017,Hyderabad
158,Rania Loyal,56,IT,322918.75,8,34,2021,Delhi
159,Tushar Kapoor,30,IT,1065078.23,10,20,2019,Chennai
160,Ishaan Varughese,49,Sales,533156.02,3,35,2022,Chennai
161,Biju Gala,49,Sales,952489.21,5,31,2018,Bangalore
162,Tejas Dhar,56,HR,434122.08,10,35,2022,Bangalore
163,Lakshit Swaminathan,39,Finance,1160247.17,7,25,2023,Hyderabad
164,Aarna Srivastava,50,HR,381155.47,10,25,2017,Bangalore
165,Anvi Vora,34,Sales,1156024.58,5,4,2021,Mumbai
166,Saira Dugal,33,IT,606110.14,7,14,2018,Bangalore
167,Kavya Dhingra,35,Finance,1313064.31,6,17,2017,Chennai
168,Vedika Varty,52,Finance,1112110.51,8,28,2017,Mumbai
169,Shayak Gola,49,Finance,534115.28,4,10,2016,Delhi
170,Raghav Lad,36,HR,387928.22,4,10,2019,Bangalore
171,Darshit Savant,36,IT,1206742.66,1,4,2020,Chennai
172,Mishti Gola,50,Sales,459551.97,10,8,2016,Bangalore
173,Sana Bava,33,Finance,332968.01,7,10,2021,Chennai
174,Kanav Baral,52,Finance,1444354.47,1,12,2015,Mumbai
175,Pihu Dada,58,HR,507364.92,6,7,2021,Delhi
176,Armaan Gola,35,HR,1448624.03,2,14,2016,Hyderabad
177,Taimur Soni,24,Sales,726618.92,6,31,2021,Hyderabad
178,Kaira Bora,38,HR,1458656.54,4,35,2015,Chennai
179,Shanaya Bhattacharyya,56,Marketing,979239.14,10,23,2023,Chennai
180,Amira Sant,57,Finance,1097658.13,8,5,2021,Chennai
181,Miraya Chandran,30,Marketing,1187607.2,7,7,2021,Chennai
182,Eshani Khatri,44,Marketing,1490083.86,6,26,2023,Delhi
183,Prerak Ghose,36,Marketing,1433016.16,1,8,2023,Hyderabad
184,Vivaan Dara,38,Finance,632398.58,7,20,2021,Chennai
185,Tara Jha,58,Finance,1357398.65,6,28,2020,Delhi
186,Aaryahi Boase,29,Marketing,570527.77,7,6,2021,Bangalore
187,Shalv Rege,39,HR,1061015.14,2,28,2023,Chennai
188,Chirag Uppal,49,HR,468850.59,2,24,2015,Bangalore
189,Jiya Gade,59,HR,1402278.59,4,33,2023,Mumbai
190,Dhanush Kale,57,Sales,1456691.66,4,2,2020,Bangalore
191,Gatik Balay,24,IT,1448264.32,2,4,2015,Mumbai
192,Ira Som,36,Finance,678367.04,1,21,2017,Hyderabad
193,Saksham Bahl,57,Marketing,423869.59,7,7,2019,Chennai
194,Neysa Saha,46,Marketing,1413247.93,8,12,2023,Chennai
195,Sahil Raval,59,IT,1279023.1,8,34,2021,Bangalore
196,Kabir Atwal,29,Marketing,313935.2,4,13,2021,Mumbai
197,Indranil Kumer,37,IT,856910.58,8,6,2015,Mumbai
198,Kashvi Majumdar,50,Marketing,861056.03,1,31,2023,Delhi
199,Mannat Samra,31,Marketing,1202615.98,4,5,2021,Delhi
200,Ivan Buch,28,Finance,484537.89,7,2,2017,Bangalore
201,Jiya Saran,43,Sales,657109.97,2,2,2023,Hyderabad
202,Faiyaz Chaudhuri,42,Finance,1201811.54,1,7,2018,Hyderabad
203,Shayak Vala,36,HR,437559.45,8,9,2015,Hyderabad
204,Anvi Gala,24,IT,1469903.29,8,17,2020,Hyderabad
205,Vedika Chatterjee,43,Sales,1262300.36,3,29,2023,Bangalore
206,Yuvraj  Viswanathan,41,HR,587071.45,9,35,2015,Bangalore
207,Ranbir Kadakia,51,Sales,1306150.6,6,10,2019,Chennai
208,Shanaya Bandi,58,HR,369425.83,1,4,2019,Delhi
209,Armaan Karnik,28,HR,691249.44,6,24,2015,Delhi
210,Shray Mall,26,Marketing,1264332.08,4,28,2018,Delhi
211,Inaaya  Agate,49,Finance,1228076.66,3,31,2017,Chennai
212,Pranay Maharaj,29,IT,569400.7,4,10,2017,Chennai
213,Urvi Bansal,35,Marketing,1035623.22,8,18,2016,Delhi
214,Akarsh Salvi,25,Sales,795549.25,5,4,2020,Mumbai
215,Pari Sankaran,46,Marketing,813294.34,4,35,2023,Chennai
216,Fateh Ratta,55,IT,1070325.42,9,17,2022,Delhi
217,Advika Dave,22,Marketing,414537.61,5,15,2019,Delhi
218,Yakshit Ganesan,49,HR,604031.29,6,31,2023,Chennai
219,Jiya Chad,33,Sales,727841.46,5,22,2020,Hyderabad
220,Farhan Sarna,26,Finance,524741.81,5,22,2023,Hyderabad
221,Lavanya Solanki,25,IT,316932.31,8,30,2021,Delhi
222,Lakshit Sane,58,Sales,618893.1,6,29,2017,Chennai
223,Vritika Atwal,55,Sales,447370.39,5,30,2022,Mumbai
224,Jivin Saxena,24,Sales,915309.2,6,12,2019,Delhi
225,Rasha Tandon,35,Marketing,1198978.38,8,8,2018,Bangalore
226,Samar Sachdev,42,Sales,554780.89,1,10,2018,Chennai
227,Samiha Dhawan,36,Marketing,1393314.85,6,13,2023,Bangalore
228,Piya Saini,43,Finance,1450509.92,5,17,2015,Bangalore
229,Alia Jain,50,Finance,1390955.68,4,32,2022,Chennai
230,Kiaan Ahluwalia,38,IT,935291.98,5,23,2015,Chennai
231,Veer Bava,39,Sales,310778.82,8,14,2018,Bangalore
232,Badal Raval,27,Marketing,578115.88,9,19,2018,Delhi
233,Dharmajan Seth,37,Marketing,1077898.84,4,8,2015,Hyderabad
234,Jhanvi Sami,45,HR,506675.49,4,33,2018,Mumbai
235,Jayesh Sharma,49,IT,952116.08,7,7,2023,Chennai
236,Aarav Gade,30,Finance,731388.9,2,9,2020,Chennai
237,Nirvi Kapur,50,Finance,340358.72,7,9,2018,Bangalore
238,Khushi Choudhry,40,Sales,1460194.7,3,9,2015,Hyderabad
239,Kimaya Bahl,32,HR,557925.84,5,26,2022,Chennai
240,Devansh Manda,59,HR,1433782.67,4,26,2018,Bangalore
241,Indrans Malhotra,54,Sales,1382936.21,6,24,2015,Hyderabad
242,Misha Borah,55,IT,1462992.74,1,23,2020,Bangalore
243,Saira Saran,47,IT,1103699.91,6,32,2023,Chennai
244,Shanaya Chanda,22,Finance,760178.82,4,24,2019,Mumbai
245,Khushi Sani,41,Finance,705756.68,1,8,2016,Bangalore
246,Lakshit Goswami,42,Marketing,628166.4,3,17,2023,Chennai
247,Dishani Ghosh,35,Sales,326352.9,4,8,2016,Delhi
248,Priyansh Bedi,35,Finance,1319580.69,4,30,2019,Delhi
249,Krish Chakrabarti,39,Finance,1406130.67,8,32,2015,Delhi
250,Sahil Sarin,49,Finance,1118503.53,2,29,2019,Bangalore
251,Nakul Bajwa,42,Sales,1345322.83,4,32,2015,Bangalore
252,Sahil Upadhyay,55,Sales,1174145.44,2,21,2022,Chennai
253,Saanvi Sethi,37,IT,1314114.19,5,1,2018,Delhi
254,Aarav Ravi,57,IT,1106053.5,7,30,2021,Hyderabad
255,Tara Sane,60,Finance,946752.74,4,28,2016,Chennai
256,Divyansh Lad,48,HR,1444731.66,10,35,2023,Chennai
257,Rania Bose,46,Finance,1346615.45,5,12,2019,Delhi
258,Jivin Issac,23,Marketing,673260.49,1,35,2017,Delhi
259,Mehul Khanna,33,IT,1168300.15,1,7,2022,Mumbai
260,Hunar Doshi,29,Finance,844433.19,8,26,2017,Hyderabad
261,Anahi Basak,28,HR,742332.84,10,19,2016,Mumbai
262,Jayant Sridhar,27,Marketing,1422551.56,1,10,2020,Delhi
263,Anahita Mangal,36,IT,1048978.49,7,31,2020,Hyderabad
264,Shray Sandhu,37,IT,1298367.29,10,3,2022,Mumbai
265,Raunak Kade,52,Marketing,724194.34,1,10,2017,Bangalore
266,Lavanya Bakshi,23,Finance,894885.41,3,24,2023,Bangalore
267,Ira Som,58,Sales,1003344.36,5,34,2017,Chennai
268,Himmat Sani,39,Sales,1221117.32,5,35,2020,Delhi
269,Nehmat Kunda,29,Marketing,1400561.19,3,5,2021,Chennai
270,Khushi Sridhar,46,HR,1204965.27,6,9,2015,Mumbai
271,Shray Bava,26,Finance,945895.99,7,35,2021,Bangalore
272,Jivin Ghose,60,Sales,1218545.99,4,20,2019,Chennai
273,Kimaya Doctor,52,Marketing,1218906.61,7,8,2022,Chennai
274,Aarna Madan,23,Sales,369885.45,8,24,2021,Hyderabad
275,Saksham Ramachandran,36,Marketing,494989.02,9,3,2016,Mumbai
276,Shamik Chana,33,Marketing,783456.98,2,3,2017,Hyderabad
277,Hrishita Kaul,23,Sales,852499.06,10,23,2022,Mumbai
278,Zain Sabharwal,27,Finance,682061.16,1,19,2016,Hyderabad
279,Anika Sampath,33,Marketing,1167915.37,8,34,2017,Delhi
280,Vedika Iyer,41,Finance,744570.34,1,27,2015,Bangalore
281,Suhana Kibe,36,HR,593034.99,9,31,2017,Chennai
282,Lavanya Barad,59,HR,776783.14,10,22,2020,Hyderabad
283,Ayesha Kar,24,Finance,895639.16,9,13,2017,Chennai
284,Mohanlal Arora,43,HR,1229501.17,10,17,2022,Hyderabad
285,Himmat Doctor,58,Sales,1427717.13,10,34,2018,Delhi
286,Samarth Sahota,45,HR,1082507.1,8,9,2015,Bangalore
287,Onkar Sharma,51,Marketing,1091417.41,3,24,2021,Mumbai
288,Seher Shere,33,Marketing,1478312.56,3,15,2018,Bangalore
289,Farhan Halder,33,Finance,395824.37,3,10,2023,Bangalore
290,Shayak Ratta,25,Marketing,421122.24,3,32,2023,Chennai
291,Anika Ganguly,48,HR,1417020.07,5,12,2016,Hyderabad
292,Divij Agate,29,IT,876095.95,1,34,2020,Bangalore
293,Gokul Bahl,46,IT,600244.67,9,24,2015,Chennai
294,Navya Salvi,37,IT,1223117.35,3,28,2020,Bangalore
295,Arnav Kohli,44,Marketing,865708.79,6,2,2020,Chennai
296,Indrajit Dhar,25,IT,1148482.79,10,28,2021,Bangalore
297,Jayan Bhattacharyya,50,Sales,1451589.81,3,12,2015,Mumbai
298,Amira Subramanian,52,HR,627959.28,2,17,2017,Hyderabad
299,Urvi Madan,22,IT,456058.38,5,18,2016,Bangalore
300,Gokul Balan,57,HR,787537.97,4,11,2018,Mumbai
301,Keya Kade,27,Sales,1056583.05,10,31,2019,Chennai
302,Hiran Dhar,27,HR,1152861.47,1,10,2018,Mumbai
303,Indrans Subramaniam,52,HR,506783.15,9,31,2023,Chennai
304,Manjari Jha,59,Finance,536552.99,2,8,2017,Bangalore
305,Tanya Suresh,26,Finance,1243911.97,3,7,2018,Hyderabad
306,Aarna Vaidya,40,Sales,1325676.07,3,31,2018,Mumbai
307,Damini Joshi,36,IT,1197979.43,7,28,2019,Chennai
308,Aniruddh Cherian,49,Sales,1202534.21,4,24,2020,Chennai
309,Eshani Rau,22,Finance,1439091.14,10,23,2023,Chennai
310,Neysa Bedi,39,Finance,1182759.11,7,14,2020,Delhi
311,Aaryahi Babu,50,Sales,891705.7,8,11,2015,Delhi
312,Shalv Bhargava,38,IT,1368677.93,5,35,2021,Bangalore
313,Amani Sankar,53,Marketing,826314.81,5,16,2021,Hyderabad
314,Myra Buch,38,Marketing,1000144.82,3,7,2020,Bangalore
315,Kashvi Kapur,46,Sales,428187.9,10,5,2018,Mumbai
316,Divit Shah,32,HR,870974.67,8,15,2017,Hyderabad
317,Rasha Sen,23,Finance,1218666.12,8,23,2019,Mumbai
318,Rohan Loke,43,IT,455311.96,6,35,2018,Chennai
319,Uthkarsh Ramakrishnan,47,Sales,1111487.58,8,2,2015,Delhi
320,Damini Mand,34,Marketing,1031866.88,8,2,2018,Hyderabad
321,Urvi Kata,59,HR,597188.69,8,16,2021,Chennai
322,Khushi Bobal,49,IT,795248.5,4,23,2015,Chennai
323,Rasha Chada,59,IT,905227.65,2,33,2020,Bangalore
324,Fateh Kant,46,Sales,837114.98,2,2,2023,Mumbai
325,Ishita Chatterjee,24,IT,542557.47,9,26,2021,Hyderabad
326,Prisha Saha,53,IT,1019987.21,7,35,2015,Mumbai
327,Manjari Krishna,24,Marketing,1320759.5,1,8,2015,Hyderabad
328,Kiara Brar,57,IT,1302017.4,6,8,2022,Bangalore
329,Zaina Arya,35,IT,1114505.83,6,4,2017,Chennai
330,Veer Johal,36,Finance,1450779.18,7,30,2023,Delhi
331,Dhruv Sahota,42,IT,819780.67,6,16,2020,Mumbai
332,Kashvi Gupta,26,IT,506418.59,2,18,2023,Bangalore
333,Adah Kade,44,HR,1065338.11,6,14,2017,Mumbai
334,Nayantara Kala,59,IT,969464.67,6,11,2015,Mumbai
335,Madhup Bhandari,34,IT,700824.3,7,12,2017,Bangalore
336,Indrajit Bansal,24,HR,839826.62,2,33,2018,Mumbai
337,Anvi Chada,41,Marketing,1067415.53,8,3,2016,Bangalore
338,Eva Ganguly,56,IT,967730.27,2,18,2018,Hyderabad
339,Dhanuk Wali,23,Sales,929873.22,5,28,2017,Hyderabad
340,Indrajit Dhar,25,Marketing,1032281.23,7,15,2015,Hyderabad
341,Samarth Sidhu,31,HR,705809.2,4,18,2019,Chennai
342,Hazel Sagar,60,Sales,1163534.99,4,6,2017,Hyderabad
343,Trisha Bath,57,IT,466417.42,3,24,2023,Mumbai
344,Krish Madan,28,IT,858620.75,9,2,2015,Bangalore
345,Kaira Thakkar,54,IT,927945.09,2,33,2022,Delhi
346,Yakshit Chakraborty,34,Finance,1226574.18,7,25,2015,Delhi
347,Aniruddh Madan,51,Finance,363337.25,7,27,2015,Mumbai
348,Mishti Das,34,Finance,1083245.57,2,31,2021,Mumbai
349,Kaira Swaminathan,45,Marketing,1344200.87,3,13,2022,Bangalore
350,Advika Johal,35,Sales,1497939.43,2,12,2019,Chennai
351,Gokul Basak,42,Finance,660206.75,10,4,2016,Chennai
352,Bhamini Chada,45,IT,1149363.89,2,14,2021,Bangalore
353,Zain Uppal,27,HR,1023772.26,6,19,2021,Hyderabad
354,Shayak Chaudhari,24,HR,748402.88,8,35,2019,Delhi
355,Diya Dar,49,HR,583740.07,6,18,2017,Bangalore
356,Raghav Borde,23,Finance,1356793.53,6,32,2018,Bangalore
357,Anaya Banerjee,35,HR,425115.24,7,24,2022,Mumbai
358,Vedika Kata,44,HR,1176916.0,10,8,2023,Delhi
359,Navya Sha,56,Finance,1028200.36,4,6,2015,Mumbai
360,Lakshit Sehgal,30,IT,489636.85,8,32,2020,Mumbai
361,Aarna Ravel,48,Finance,1383706.57,10,2,2022,Chennai
362,Zaina Das,58,Finance,496253.92,10,1,2022,Hyderabad
363,Indranil Issac,47,Marketing,507597.79,7,34,2016,Chennai
364,Elakshi Gola,43,HR,853483.06,9,9,2022,Delhi
365,Ritvik Chakrabarti,35,IT,605293.86,9,30,2017,Mumbai
366,Samarth Sachdev,30,HR,905061.9,10,14,2021,Mumbai
367,Keya Gokhale,22,Sales,582228.29,5,31,2021,Delhi
368,Ryan Grover,50,IT,1249354.23,4,23,2019,Chennai
369,Riya Bawa,44,Marketing,519263.83,8,33,2018,Mumbai
370,Saanvi Bal,48,IT,1456510.51,6,33,2020,Bangalore
371,Dishani Tripathi,48,Marketing,623386.83,4,28,2020,Delhi
372,Dhruv Sarma,35,Marketing,884665.47,5,26,2016,Delhi
373,Ira Mahal,26,Sales,489897.12,10,4,2021,Delhi
374,Riaan Raju,49,Marketing,332537.35,7,23,2020,Chennai
375,Veer Dhar,29,Marketing,710104.68,2,33,2015,Bangalore
376,Ira Shankar,56,HR,737382.91,4,18,2021,Hyderabad
377,Neysa Apte,41,Sales,471659.6,10,20,2020,Mumbai
378,Shlok Bains,55,Finance,1017614.35,8,23,2016,Delhi
379,Ela Dubey,50,IT,1285279.34,3,9,2022,Bangalore
380,Trisha Walia,46,IT,1325862.26,5,26,2018,Hyderabad
381,Neysa Dhar,25,Marketing,486818.04,6,9,2019,Delhi
382,Darshit Chaudry,25,HR,752008.07,4,23,2016,Hyderabad
383,Jiya Koshy,59,HR,324889.37,2,23,2016,Mumbai
384,Jayesh Behl,24,Marketing,1177605.76,4,26,2021,Mumbai
385,Oorja Behl,54,Sales,645445.59,8,18,2022,Mumbai
386,Aarna Varty,45,Finance,446782.05,4,5,2016,Chennai
387,Tiya Buch,24,Finance,1125870.0,10,24,2020,Delhi
388,Aradhya Gaba,38,Sales,849079.65,9,3,2016,Delhi
389,Prerak Sharma,56,Finance,840585.42,5,34,2022,Delhi
390,Badal Guha,52,HR,504954.8,2,16,2015,Delhi
391,Zaina Rajan,27,Sales,1336315.32,5,21,2021,Hyderabad
392,Chirag Sandal,33,Finance,1008213.33,8,22,2016,Chennai
393,Nishith Bhasin,58,Finance,768229.35,5,2,2022,Mumbai
394,Vanya Ramakrishnan,24,HR,345923.23,3,21,2021,Mumbai
395,Lakshit Kulkarni,56,Marketing,1390473.87,1,7,2021,Delhi
396,Ranbir Deep,31,IT,1413433.28,10,19,2015,Bangalore
397,Charvi Sani,28,Sales,1494929.25,4,6,2018,Delhi
398,Dhanuk Varma,38,HR,1350861.9,1,29,2023,Hyderabad
